TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,aula libras,,4,1,Társila (32517479),,toda segunda 10:30,pt,America/Fortaleza
,,,,,,,,,
task,Ver um video hebraico,,4,1,Társila (32517479),,todo dia,pt,America/Fortaleza
,,,,,,,,,
task,"[Bíblia Hebraica Transliterada - www.hebraico.pro.br](https://hebraico.pro.br/r/bibliainterlinear/texto.asp?g=1,2&s=GENESIS&p=1)",,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,1/25,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[Bible Stories in Easy Modern Hebrew - 1](https://www.youtube.com/watch?v=HKlkOnUp0FI&list=PL3eQQpsYNiUqFeyPUpKSgkhsgvuw3uDAK),,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,1/46,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[CI Biblical Hebrew: Hello! What is your name?](https://www.youtube.com/watch?v=KaXKNF5wFB0&list=PLZEWU2646oV3fxn4mGbVNqwS4xzo_aGfJ),,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,Paul's Letter to the Ephesians,,4,1,Társila (32517479),,18 days ago,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 00Introduction**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 01Introduction to Paul**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 02The Design of Ephesians**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 03Blessing and Election**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 04The Coming Age**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 05Identity**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 06The Powers**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 07Jesus**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
task,[ ]  **UNIT 08It’s All About Love**,,4,2,Társila (32517479),,,en,America/Fortaleza
,,,,,,,,,
